№пп,"Путь к странице","ID товара","Посещения Январь","Посещения Февраль","Посещения Март","Посещения Апрель","Посещения Май","Посещения Июнь","Посещения Июль","Посещения Август","Посещения Сентябрь","Посещения Октябрь","Посещения Ноябрь","Посещения Декабрь"
1,/msk/alkogolnie/krepkij_alkogol.php,ID1001-msk,1/1,1/2,1/3,1/4,1/5,1/6,3/9,1/8,1/9,1/10,1/11,1/12
2,/msk/alkogolnie/krepkij_alkogol.php,ID1002-msk,1/1,1/2,1/3,1/4,1/5,1/6,3/9,1/8,1/9,1/10,1/11,1/12
3,/msk/alkogolnie/krepkij_alkogol.php,ID1003-msk,1/1,1/2,1/3,1/4,1/5,1/6,3/8,1/8,1/9,1/10,1/11,1/12
4,/msk/alkogolnie/krepkij_alkogol.php,ID1004-msk,1/1,1/2,1/3,1/4,1/5,1/6,3/9,1/8,1/9,1/10,1/11,1/12
11,/msk/alkogolnie/krepkij_alkogol.php,ID1005-msk,1/0,1/0,1/0,1/0,1/0,1/0,3/1,1/0,1/0,1/0,1/0,1/0
12,/msk/alkogolnie/krepkij_alkogol.php,ID1006-msk,1/0,1/0,1/0,1/0,1/0,1/0,3/1,1/0,1/0,1/0,1/0,1/0
13,/msk/alkogolnie/krepkij_alkogol.php,ID1008-msk,1/0,1/0,1/0,1/0,1/0,1/0,3/1,1/0,1/0,1/0,1/0,1/0
14,/msk/alkogolnie/krepkij_alkogol.php,ID1009-msk,1/0,1/0,1/0,1/0,1/0,1/0,3/1,1/0,1/0,1/0,1/0,1/0
15,/msk/alkogolnie/krepkij_alkogol.php,ID1010-msk,1/0,1/0,1/0,1/0,1/0,1/0,3/1,1/0,1/0,1/0,1/0,1/0
16,/msk/alkogolnie/krepkij_alkogol.php,ID1011-msk,1/0,1/0,1/0,1/0,1/0,1/0,3/1,1/0,1/0,1/0,1/0,1/0
17,/msk/alkogolnie/krepkij_alkogol.php,ID1012-msk,1/0,1/0,1/0,1/0,1/0,1/0,3/1,1/0,1/0,1/0,1/0,1/0
18,/msk/alkogolnie/krepkij_alkogol.php,ID1013-msk,1/0,1/0,1/0,1/0,1/0,1/0,3/1,1/0,1/0,1/0,1/0,1/0
19,/msk/alkogolnie/krepkij_alkogol.php,ID1035-msk,1/0,1/0,1/0,1/0,1/0,1/0,3/1,1/0,1/0,1/0,1/0,1/0
20,/msk/alkogolnie/krepkij_alkogol.php,ID1031-msk,1/0,1/0,1/0,1/0,1/0,1/0,3/1,1/0,1/0,1/0,1/0,1/0
21,/msk/alkogolnie/krepkij_alkogol.php,ID1007-msk,1/0,1/0,1/0,1/0,1/0,1/0,3/1,1/0,1/0,1/0,1/0,1/0
