"№пп,""Путь к странице"",""ID товара"",""Посещения Январь"",""Посещения Февраль"",""Посещения Март"",""Посещения Апрель"",""Посещения Май"",""Посещения Июнь"",""Посещения Июль"",""Посещения Август"",""Посещения Сентябрь"",""Посещения Октябрь"",""Посещения Ноябрь"",""Посещения Декабрь"""
2,/msk/alkogolnie/krepkij_alkogol.php,ID1001-msk,200/20,200/20,200/20,200/20,200/21,200/20,200/20,200/20,200/20,200/21,200/20,200/21
3,/msk/alkogolnie/krepkij_alkogol.php,ID1010-msk,200/20,200/20,200/20,200/20,200/21,200/20,200/20,200/20,200/20,200/21,200/20,200/21
11,/msk/alkogolnie/krepkij_alkogol/,ID1001-msk,0/0,0/0,0/0,0/0,2/1,6/3,62/3,33/9,2/0,0/0,0/0,0/0
12,/msk/alkogolnie/krepkij_alkogol/,ID1008-msk,0/0,0/0,0/0,0/0,2/0,6/0,62/0,33/1,2/0,0/0,0/0,0/0
13,/msk/alkogolnie/krepkij_alkogol/,ID1013-msk,0/0,0/0,0/0,0/0,2/0,6/0,62/0,33/1,2/0,0/0,0/0,0/0
14,/msk/alkogolnie/krepkij_alkogol/,ID1016-msk,0/0,0/0,0/0,0/0,2/0,6/0,62/0,33/1,2/0,0/0,0/0,0/0
15,/msk/alkogolnie/krepkij_alkogol,ID1001-msk,0/0,0/0,0/0,0/0,1/1,2/2,0/0,11/5,4/1,1/0,0/0,0/0
16,/msk/alkogolnie/krepkij_alkogol/,ID1002-msk,0/0,0/0,0/0,0/0,2/1,6/3,62/2,33/2,2/0,0/0,0/0,0/0
17,/msk/alkogolnie/krepkij_alkogol,ID1005-msk,0/0,0/0,0/0,0/0,1/0,2/0,0/0,11/1,4/0,1/0,0/0,0/0
18,/msk/alkogolnie/krepkij_alkogol,ID1006-msk,0/0,0/0,0/0,0/0,1/0,2/0,0/0,11/1,4/0,1/0,0/0,0/0
19,/msk/alkogolnie/krepkij_alkogol,ID1002-msk,0/0,0/0,0/0,0/0,1/1,2/1,0/0,11/0,4/0,1/0,0/0,0/0
20,/msk/alkogolnie/krepkij_alkogol,ID1003-msk,0/0,0/0,0/0,0/0,1/1,2/1,0/0,11/0,4/0,1/0,0/0,0/0
21,/msk/alkogolnie/krepkij_alkogol/,ID1003-msk,0/0,0/0,0/0,0/0,2/1,6/2,62/2,33/0,2/0,0/0,0/0,0/0
22,/msk/alkogolnie/vodka_konyak_vino_shampanskoe_optom/,ID1001-msk,0/0,0/0,0/0,0/0,0/0,0/0,45/2,0/0,0/0,0/0,0/0,0/0
23,/msk/alkogolnie/vodka_konyak_vino_shampanskoe_optom/,ID1002-msk,0/0,0/0,0/0,0/0,0/0,0/0,45/1,0/0,0/0,0/0,0/0,0/0
