№пп,"Путь к странице","ID товара","Посещения Январь","Посещения Февраль","Посещения Март","Посещения Апрель","Посещения Май","Посещения Июнь","Посещения Июль","Посещения Август","Посещения Сентябрь","Посещения Октябрь","Посещения Ноябрь","Посещения Декабрь"
15,/msk/alkogolnie/vodka_konyak_vino_shampanskoe_optom/,ID1005-msk,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=3/1,=0/0,=0/0,=0/0,=0/0,=0/0
16,/msk/alkogolnie/vodka_konyak_vino_shampanskoe_optom/,ID1001-msk,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=3/2,=0/0,=0/0,=0/0,=0/0,=0/0
17,/msk/alkogolnie/vodka_konyak_vino_shampanskoe/,ID1001-msk,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=5/4,=0/0,=0/0,=0/0,=0/0,=0/0
18,/msk/alkogolnie/vodka_konyak_vino_shampanskoe/,ID1002-msk,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=5/4,=0/0,=0/0,=0/0,=0/0,=0/0
19,/msk/alkogolnie/vodka_konyak_vino_shampanskoe/,ID1048-msk,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=5/1,=0/0,=0/0,=0/0,=0/0,=0/0
20,/msk/alkogolnie/vodka_konyak_vino_shampanskoe/,ID1004-msk,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=5/1,=0/0,=0/0,=0/0,=0/0,=0/0
21,/msk/zakuski_sneki/zakuski_sneki/,ID1038,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=4/1,=0/0,=0/0,=0/0,=0/0,=0/0
22,/msk/zakuski_sneki/zakuski_sneki/,ID1037,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=4/1,=0/0,=0/0,=0/0,=0/0,=0/0
23,/msk/zakuski_sneki/zakuski_sneki/,ID1036,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=4/1,=0/0,=0/0,=0/0,=0/0,=0/0
24,/msk/zakuski_sneki/zakuski_sneki/,ID1035,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=4/1,=0/0,=0/0,=0/0,=0/0,=0/0
25,/msk/zakuski_sneki/zakuski_sneki/,ID1034,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=4/1,=0/0,=0/0,=0/0,=0/0,=0/0
26,/msk/,ID1001,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=7/5,=0/0,=0/0,=0/0,=0/0,=0/0
30,/msk/,ID1005,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=7/1,=0/0,=0/0,=0/0,=0/0,=0/0
31,/msk/alkogolnie/pivo_sidr_medovuha/ID1001/,ID1001,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=3/1,=0/0,=0/0,=0/0,=0/0,=0/0
32,/msk/,ID1002,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=7/1,=0/0,=0/0,=0/0,=0/0,=0/0
33,/msk/alkogolnie/pivo_sidr_medovuha/ID1002/,ID1002,=0/0,=0/0,=0/0,=0/0,=0/0,=0/0,=3/1,=0/0,=0/0,=0/0,=0/0,=0/0
